City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
525,Tadine,NC,75.25,clear sky,-21.55,167.8833,Hotel 3 Etoiles
530,Dicabisagan,PH,86.22,overcast clouds,17.0818,122.4157,
533,Axim,GH,75.6,few clouds,4.8699,-2.2405,Nancy Montanes Bernardo
538,Bandiagara,ML,81.23,broken clouds,14.3501,-3.6104,AXIM BEACH RESORT AND SPA
540,Baldeogarh,IN,75.54,overcast clouds,24.755,79.0681,Hotel de la Falaise
541,Marsh Harbour,BS,83.91,clear sky,26.5412,-77.0636,ChhChhotChhChhotu
547,Kavieng,PG,83.84,light rain,-2.5744,150.7967,Abaco Beach Resort
550,Tambovka,RU,78.91,few clouds,50.0969,128.0489,Nusa Island Retreat
551,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Lyzhnaya Gorka
554,Marawi,PH,83.97,broken clouds,7.9986,124.2928,Posada Villaven C.A.
555,Charters Towers,AU,82.69,clear sky,-20.1,146.2667,Derogongan Residence
559,Wewak,PG,84.02,scattered clouds,-3.5534,143.6268,Cattleman's Rest Motor Inn
560,Hirara,JP,88.07,broken clouds,24.8,125.2833,In Wewak Boutique Hotel
562,Roswell,US,83.98,clear sky,34.0232,-84.3616,Hotel Atoll Emerald Miyakojima
566,Narasannapeta,IN,79.79,overcast clouds,18.4167,84.05,La Quinta Inn & Suites by Wyndham Atlanta Roswell
573,Phan Thiet,VN,83.8,overcast clouds,10.9333,108.1,G.lingaraju home
574,Billings,US,84.51,haze,45.7833,-108.5007,Hotel Saigon-PT
575,Chengdu,CN,89.85,clear sky,30.6667,104.0667,Best Western Plus Clocktower Inn
580,Chontalpa,MX,76.19,overcast clouds,17.7,-93.5167,Crowne Plaza Chengdu City Center
581,Minab,IR,85.5,scattered clouds,27.1467,57.0801,
582,Samarai,PG,80.02,scattered clouds,-10.6167,150.6667,Bam campground
584,Abakaliki,NG,79.95,overcast clouds,6.3163,8.1169,Nuli Sapi
586,Carauari,BR,77.07,overcast clouds,-4.8828,-66.8958,Grande Vitesse Apartments and Hotels
594,Ternate,ID,83.97,scattered clouds,0.8,127.4,Hotel Fellip
596,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Grand Dafam Bela Ternate
598,Mayo,US,80.06,mist,38.8876,-76.5119,Radisson Blu Resort Temple Bay Mamallapuram
599,Platanos,GR,83.7,clear sky,37.6667,21.6167,Resorts Resource Group International
601,Jati,PK,82.72,overcast clouds,24.3539,68.2671,Hotel Kronio
604,Dingle,PH,87.48,broken clouds,10.9995,122.6711,Cafe Lala Rehan Restaurant
608,Payo,ID,82.65,clear sky,-3.7508,103.6372,SEGAYA PROPERTY
609,Paka,MY,80.06,light rain,4.6374,103.4368,Mess keban agung
